ZipCode,State,TaxRegionName,CombinedRate
35677,AL,LAUDERDALE COUNTY,0.055
35739,AL,LIMESTONE COUNTY,0.06
35740,AL,BRIDGEPORT,0.09
35741,AL,MADISON COUNTY,0.055
35742,AL,LIMESTONE COUNTY,0.06
35744,AL,JACKSON COUNTY,0.06
35745,AL,JACKSON COUNTY,0.06
35746,AL,JACKSON COUNTY,0.06
35747,AL,MARSHALL COUNTY,0.05
35748,AL,MADISON COUNTY,0.055
35749,AL,MADISON COUNTY,0.055
35750,AL,MADISON COUNTY,0.055
35751,AL,JACKSON COUNTY,0.06
35752,AL,HOLLYWOOD,0.09
35754,AL,MORGAN COUNTY,0.07
35755,AL,LANGSTON,0.08
35756,AL,LIMESTONE COUNTY,0.06
35757,AL,MADISON COUNTY,0.055
35758,AL,MADISON (MADISON CO),0.09
35759,AL,MADISON COUNTY,0.055
35760,AL,MADISON COUNTY,0.055
35761,AL,MADISON COUNTY,0.055
35762,AL,HUNTSVILLE (MADISON CO),0.09
35763,AL,HUNTSVILLE (MADISON CO),0.09
35764,AL,JACKSON COUNTY,0.06
35765,AL,JACKSON COUNTY,0.06
35766,AL,JACKSON COUNTY,0.06
35767,AL,MADISON COUNTY,0.055
35768,AL,SCOTTSBORO,0.09
35769,AL,SCOTTSBORO,0.09
35771,AL,JACKSON COUNTY,0.06
35772,AL,STEVENSON PJ,0.075
35773,AL,MADISON COUNTY,0.055
35774,AL,JACKSON COUNTY,0.06
35775,AL,MORGAN COUNTY,0.07
35776,AL,JACKSON COUNTY,0.06
35801,AL,HUNTSVILLE (MADISON CO),0.09
35802,AL,HUNTSVILLE (MADISON CO),0.09
35803,AL,HUNTSVILLE (MADISON CO),0.09
35804,AL,HUNTSVILLE (MADISON CO),0.09
35805,AL,HUNTSVILLE (MADISON CO),0.09
35806,AL,HUNTSVILLE (MADISON CO),0.09
35807,AL,HUNTSVILLE (MADISON CO),0.09
35808,AL,MADISON COUNTY,0.055
35809,AL,HUNTSVILLE (MADISON CO),0.09
35810,AL,HUNTSVILLE (MADISON CO),0.09
35811,AL,MADISON COUNTY,0.055
35812,AL,HUNTSVILLE (MADISON CO),0.09
35813,AL,HUNTSVILLE (MADISON CO),0.09
35814,AL,HUNTSVILLE (MADISON CO),0.09
35815,AL,HUNTSVILLE (MADISON CO),0.09
35816,AL,HUNTSVILLE (MADISON CO),0.09
35824,AL,HUNTSVILLE (MADISON CO),0.09
35893,AL,HUNTSVILLE (MADISON CO),0.09
35894,AL,HUNTSVILLE (MADISON CO),0.09
35895,AL,HUNTSVILLE (MADISON CO),0.09
35896,AL,HUNTSVILLE (MADISON CO),0.09
35897,AL,MADISON COUNTY,0.055
35899,AL,HUNTSVILLE (MADISON CO),0.09
35901,AL,GADSDEN,0.09
35902,AL,GADSDEN,0.09
35903,AL,GADSDEN,0.09
35904,AL,GADSDEN,0.09
35905,AL,GLENCOE (ETOWAH CO),0.09
35906,AL,RAINBOW,0.09
35907,AL,SOUTHSIDE (ETOWAH CO),0.09
35950,AL,ALBERTVILLE,0.08
35951,AL,ALBERTVILLE,0.08
35952,AL,ETOWAH COUNTY,0.05
35953,AL,ST. CLAIR COUNTY,0.06
35954,AL,ETOWAH COUNTY,0.05
35956,AL,ETOWAH COUNTY,0.05
35957,AL,BOAZ (MARSHALL CO),0.08
35958,AL,JACKSON COUNTY,0.06
35959,AL,CHEROKEE COUNTY,0.075
35960,AL,CHEROKEE COUNTY,0.075
35961,AL,DEKALB COUNTY,0.05
35962,AL,DEKALB COUNTY,0.05
35963,AL,DEKALB COUNTY,0.05
35964,AL,DOUGLAS,0.08
35966,AL,JACKSON COUNTY,0.06
35967,AL,FORT PAYNE,0.08
35968,AL,DEKALB COUNTY,0.05
35971,AL,DEKALB COUNTY,0.05
35972,AL,ETOWAH COUNTY,0.05
35973,AL,CHEROKEE COUNTY,0.075
35974,AL,GERALDINE PJ,0.065
35975,AL,DEKALB COUNTY,0.05
35976,AL,GUNTERSVILLE PJ,0.07
35978,AL,HENAGAR,0.09
35979,AL,DEKALB COUNTY,0.05
35980,AL,MARSHALL COUNTY,0.05
35981,AL,IDER PJ,0.07
35983,AL,CHEROKEE COUNTY,0.075
35984,AL,DEKALB COUNTY,0.05
35986,AL,RAINSVILLE,0.09
35987,AL,STEELE,0.08
35988,AL,SYLVANIA,0.09
35989,AL,DEKALB COUNTY,0.05
35990,AL,WALNUT GROVE,0.08
36003,AL,AUTAUGA COUNTY,0.06
36005,AL,PIKE COUNTY,0.06
36006,AL,AUTAUGA COUNTY,0.06
36008,AL,AUTAUGA COUNTY,0.06
36009,AL,CRENSHAW COUNTY,0.075
36010,AL,BRUNDIDGE,0.08
